LR_ARKA,LR_ARKB,LR_ARKW,LR_BITB,LR_BITC,LR_BITI,LR_BITO,LR_BITQ,LR_BITS,LR_BITU,LR_BITX,LR_BRRR,LR_BTC,LR_BTCO,LR_BTCW,LR_BTF,LR_EZBC,LR_FBTC,LR_GBTC,LR_HODL,LR_IBIT,LR_SBIT,LR_SPBC,LR_STCE,LR_WGMI
,-0.0014760040965885986,-0.004787188350724778,-0.0010110047800322144,0.0015957986321821877,0.0006968374627865492,-0.0022640328585459128,-0.011696084120135277,0.0,-0.0040175887584359875,-0.0022928746647661153,0.0015582751656686618,-0.0017393394043867928,0.0,-0.0011399618543222786,-0.0036456614871087562,-0.00011399811737897046,-0.0015138484774434404,-0.0012501420979565817,-0.0021413403673595176,0.0,0.0016474059993771596,-0.0034287537617684587,-0.009599280982686998,-0.0071191338164950475
,-0.0017683032185590818,,-0.0011470757998735665,,0.0,-0.0004535414683596881,-0.0005915545301046093,,-0.004580640114929547,-0.0028196628785824283,-0.00038994849685846246,-0.0014932197433082516,-0.0003315331753251212,0.00031169181446980915,0.0,-0.0005710246540238572,-0.00150255765499009,-0.001669149340182646,-0.001267462317179575,-0.0017463892965460554,0.003286770680280998,,0.0,-0.009242156933087685
,-0.0010723993679700302,-0.001124392133217923,-0.00020253867342729192,,0.00019553268093510667,0.0009073753095177629,0.0,,0.0017463007557298644,0.0,-0.00038979649629875305,-0.0006224317413583624,0.0012135322182664663,0.0,,0.0005704817083343641,0.00037913149644506295,-0.00013913143981958352,-0.0008775422300052975,0.0,0.0008960209511098742,,-0.004508296807093587,0.0009259471684928707
,-0.004769047124592339,,-0.0032553405890198496,0.0006836640083457229,0.00324807120046172,-0.005005726422530032,0.0,,-0.011576954125935386,-0.00967001622726199,-0.001954315428921013,-0.00503505434329282,-0.0025523328803283315,,-0.007342204959207009,-0.003912067017946468,-0.004942028497634079,-0.004885868340570093,-0.004579695867700927,-0.004861790567673375,0.009803990548037716,,-0.00022494402874894247,0.00277390217740436
,-0.002449085229689292,0.0,-0.002653897067652444,,0.0015897886531825237,-0.0027409548910544202,,,-0.005095824499342064,-0.007406521523133897,-0.00039270486255421665,-0.002758637745731073,-0.0030052253547962968,0.0,-0.0029542089843561715,-0.00038381229144121825,-0.002735063154575132,0.0,-0.0015727520536186436,-0.0022871117287030906,0.004056816076951445,,0.001574265355690051,0.002767504890783017
,-0.004885575745363049,0.0,-0.00680136882553425,,0.006047171116867348,-0.0068777873098936,-0.0035363250854071296,,-0.01237812919612404,-0.011466184817181976,-0.003155818221157563,-0.0059153304431525,-0.005369693300703531,-0.0036250134890607084,-0.009705198583540275,-0.004818357748209266,-0.007028275239266735,-0.008020864866140355,-0.007833574280237229,-0.005937098041562049,0.01167716138461338,0.0,-0.004266368704561394,-0.008229412792742483
0.0,0.00654052785794187,-0.0007982499182704285,0.008267150770495394,,-0.005642876426879356,0.0064250472171026324,0.0,0.0,0.012952347386623065,0.01379923441967178,0.005123206008376103,0.006671291421916746,0.005637875469799942,0.0004190332589336489,0.0014914587396532666,0.006897037871347807,0.006986077377340963,0.00675873248478844,0.007597888079434416,0.006675857569549768,-0.012665933190488796,,-0.0002255018910175032,-0.002315404775611207
,0.0008912860343888893,-0.0013184502528896735,0.0010211999580815375,,-0.0003033077928537667,0.0009871849834596081,0.0,,0.0019953481777212827,0.00127412818822775,0.0015698949945607181,0.0012542140700339101,0.0003338205117517198,0.0049165977454544135,0.0007399355593091603,0.0019186206225212537,0.001400300781601663,0.0007010506257259613,-0.00018657878418161384,0.0010714772503044227,-0.0012163263892404858,,-0.0013552646748745984,-0.0026966408737852323
,0.002278030749251822,0.0,0.002374488996574305,,0.0,0.0028468363563449403,,,0.003114265154285669,0.0066730934529091925,0.0019596770424509186,0.002880264445051356,0.0017770291269196257,-0.0004181134658796042,0.0,0.0015311358217077044,0.003176017554196141,0.003219202563468517,0.0012743704473315097,0.003018455657486436,-0.004780709145691755,,-0.0020341322615783715,-0.003250511119289135
,-0.0019999192863773083,,-0.002220154816870068,0.0,0.0019130232570302766,-0.0013683325457451354,5.988695489783349e-06,,-0.0015423534491483127,-0.003587678910391758,0.0,-0.0017515253960369989,-0.0005550036335406586,,,-0.0019135537484719267,-0.002157845587809374,-0.00181863212609997,0.0006364520969788098,-0.0016581146585110944,0.0024429761709147467,,-0.0011300540497912392,-0.0011973212455079364
,0.004726287354634492,0.00018864836238739662,0.0052889085255121366,0.0,-0.004054368196904796,0.0047808648402952875,0.0038665974187797186,,0.010005071022305098,0.011111392515510089,0.00031267277773958026,0.005248021233379738,0.0034384988988217166,0.0020308773491829303,0.0,0.0,0.005072921515000161,0.004328674884968303,0.005087617637815945,0.005063269231930537,-0.009787997229406386,,-0.0009064336573299044,0.0032564832275175175
,0.0002765273098885274,0.0,-0.0008882309526340258,0.0,0.00015474499694556205,0.0,0.0021857028369111826,,-0.0006296606217287031,-0.00020694364998285794,0.0,-0.000747633163718527,0.0006615677627121458,,0.0,0.0001902811218736479,-0.0008848960217055117,0.0002088833217874698,-0.0007796689857856346,-0.00041778702913460036,0.0004099294619866249,,0.0009036851185087258,0.0009276651063729587
